building_name,building_type,address,floor,transport,building_age,building_materials,room_floor,rent_fee,management_fee,deposit,gift_money,house_plan,house_area
ライオンズマンション西新宿第６,マンション,東京都新宿区西新宿４丁目,5階建て, 都営大江戸線 西新宿五丁目駅/徒歩4分都営大江戸線 都庁前駅/徒歩6分東京メトロ丸ノ内線 西新宿駅/徒歩11分,築41年,鉄筋コンクリート,4階,7.1万円,"9,000円",1ヶ月,1ヶ月,1R,18.09m²
マンハイム西落合,アパート,東京都新宿区西落合１丁目,2階建て, 都営大江戸線 落合南長崎駅/徒歩10分西武鉄道新宿線 新井薬師前駅/徒歩12分西武鉄道新宿線 中井駅/徒歩14分,築44年,軽量鉄骨,1階,6.9万円,"6,000円",1ヶ月,－,1K,22.5m²
東京都新宿区西新宿８丁目,マンション,東京都新宿区西新宿８丁目,4階建て, 東京メトロ丸ノ内線 西新宿駅/徒歩2分都営大江戸線 新宿西口駅/徒歩11分ＪＲ山手線 新宿駅/徒歩12分,築44年,鉄筋コンクリート,2階,8.3万円,"4,000円",1ヶ月,1ヶ月,1R,26.74m²
四谷コーエイマンション,マンション,東京都新宿区富久町,13階建て, 都営新宿線 曙橋駅/徒歩5分東京メトロ丸ノ内線 四谷三丁目駅/徒歩7分東京メトロ丸ノ内線 新宿御苑前駅/徒歩11分,築50年,鉄骨鉄筋コンクリート,2階,7.8万円,－,1ヶ月,1ヶ月,1K,25.58m²
東京都新宿区西新宿８丁目,マンション,東京都新宿区西新宿８丁目,6階建て, 東京メトロ丸ノ内線 西新宿駅/徒歩2分ＪＲ山手線 新宿駅/徒歩12分都営大江戸線 都庁前駅/徒歩11分,築50年,鉄筋コンクリート,2階,7.5万円,"5,000円",－,－,1K,20.02m²
法師荘,アパート,東京都新宿区百人町２丁目,2階建て, ＪＲ山手線 新大久保駅/徒歩6分ＪＲ総武線 大久保駅/徒歩3分西武鉄道新宿線 西武新宿駅/徒歩13分,築59年,木造,2階,4.8万円,"5,000円",1ヶ月,1ヶ月,1R,11m²
東京都新宿区百人町２丁目,アパート,東京都新宿区百人町２丁目,2階建て, ＪＲ山手線 新大久保駅/徒歩6分ＪＲ総武線 大久保駅/徒歩3分西武鉄道新宿線 西武新宿駅/徒歩13分,築59年,木造,2階,4.8万円,"5,000円",1ヶ月,1ヶ月,1R,11m²
９９ベース四谷,アパート,東京都新宿区四谷４丁目,3階建て, 東京メトロ丸ノ内線 新宿御苑前駅/徒歩5分東京メトロ丸ノ内線 四谷三丁目駅/徒歩5分都営大江戸線 国立競技場駅/徒歩12分,築2年,木造,3階,7.7万円,"3,000円",－,－,1R,14.91m²
モダンテラス早稲田,マンション,東京都新宿区戸山１丁目,4階建て, 東京メトロ東西線 早稲田駅/徒歩5分都営大江戸線 若松河田駅/徒歩8分都営大江戸線 牛込柳町駅/徒歩12分,築2年,鉄筋コンクリート,1階,16.9万円,"10,000円",－,－,1LDK,48.56m²
東京都新宿区大京町,マンション,東京都新宿区大京町,10階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩7分東京メトロ丸ノ内線 新宿御苑前駅/徒歩10分都営大江戸線 国立競技場駅/徒歩11分,築2年,鉄筋コンクリート,1階,13万円,"10,000円",－,－,1K,25.44m²
ＳｏＫｏ　ＰＡＲＣＯ,マンション,東京都新宿区百人町３丁目,5階建て, ＪＲ総武線 大久保駅/徒歩11分ＪＲ山手線 新大久保駅/徒歩11分ＪＲ山手線 高田馬場駅/徒歩12分,築0年,鉄筋コンクリート,2階,13.1万円,"5,000円",－,1ヶ月,1LDK,27.31m²
グランハイツ曙橋,マンション,東京都新宿区住吉町,14階建て, 都営新宿線 曙橋駅/徒歩4分東京メトロ丸ノ内線 四谷三丁目駅/徒歩8分東京メトロ丸ノ内線 新宿御苑前駅/徒歩12分,築3年,鉄筋コンクリート,2階,10.7万円,"10,000円",1ヶ月,1ヶ月,1K,25.48m²
ＺＯＯＭ新宿西落合,マンション,東京都新宿区西落合１丁目,7階建て, 都営大江戸線 落合南長崎駅/徒歩6分西武池袋・豊島線 東長崎駅/徒歩14分西武鉄道新宿線 新井薬師前駅/徒歩15分,築3年,鉄筋コンクリート,4階,11.9万円,"8,000円",1ヶ月,1ヶ月,2K,30.42m²
レクシード神楽坂,マンション,東京都新宿区東五軒町,9階建て, 東京メトロ東西線 神楽坂駅/徒歩8分都営大江戸線 飯田橋駅/徒歩8分東京メトロ有楽町線 江戸川橋駅/徒歩10分,築3年,鉄筋コンクリート,2階,12.7万円,"15,000円",－,－,1K,26.16m²
プラティーク新宿原町,マンション,東京都新宿区原町２丁目,10階建て, 都営大江戸線 牛込柳町駅/徒歩2分東京メトロ東西線 早稲田駅/徒歩10分都営新宿線 曙橋駅/徒歩13分,築3年,鉄筋コンクリート,7階,14.6万円,"12,000円",1ヶ月,－,1DK,36.25m²
東京都新宿区西新宿６丁目,マンション,東京都新宿区西新宿６丁目,29階建て, ＪＲ山手線 新宿駅/徒歩12分東京メトロ丸ノ内線 西新宿駅/徒歩4分都営大江戸線 都庁前駅/徒歩12分,築3年,鉄骨鉄筋コンクリート,27階,33.1万円,"22,000円",1ヶ月,2ヶ月,1LDK,58.4m²
ＩＢＩＳ市ヶ谷,マンション,東京都新宿区払方町,6階建て, 都営大江戸線 牛込神楽坂駅/徒歩7分東京メトロ有楽町線 市ケ谷駅/徒歩7分東京メトロ東西線 神楽坂駅/徒歩13分,築4年,鉄筋コンクリート,2階,21.2万円,"10,000円",1ヶ月,－,1LDK,42.52m²
メインステージ若松河田,マンション,東京都新宿区若松町,13階建て, 都営大江戸線 若松河田駅/徒歩4分都営大江戸線 牛込柳町駅/徒歩7分東京メトロ東西線 早稲田駅/徒歩8分,築5年,鉄筋コンクリート,12階,11.4万円,"15,000円",－,1ヶ月,1K,25.32m²
東京都新宿区東五軒町,マンション,東京都新宿区東五軒町,11階建て, ＪＲ総武線 飯田橋駅/徒歩9分東京メトロ東西線 神楽坂駅/徒歩11分東京メトロ有楽町線 江戸川橋駅/徒歩9分,築6年,鉄筋コンクリート,7階,11.5万円,"10,000円",－,－,1K,25.5m²
ＺＯＯＭ西新宿,マンション,東京都新宿区北新宿１丁目,13階建て, 東京メトロ丸ノ内線 西新宿駅/徒歩6分西武鉄道新宿線 西武新宿駅/徒歩10分ＪＲ総武線 大久保駅/徒歩11分,築7年,鉄筋コンクリート,9階,11.9万円,"10,000円",1ヶ月,1ヶ月,1K,25.31m²
グランヴィスタ四ツ谷,アパート,東京都新宿区若葉１丁目,2階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩4分東京メトロ丸ノ内線 四ツ谷駅/徒歩9分都営新宿線 曙橋駅/徒歩11分,築7年,木造,2階,16.3万円,"3,000円",1ヶ月,1ヶ月,1LDK,45.73m²
グリーニエ西新宿弐番館,マンション,東京都新宿区西新宿８丁目,4階建て, 東京メトロ丸ノ内線 西新宿駅/徒歩2分都営大江戸線 都庁前駅/徒歩9分東京メトロ丸ノ内線 新宿駅/徒歩12分,築9年,鉄筋コンクリート,1階,12.3万円,"5,000円",1ヶ月,1ヶ月,1DK,30.03m²
ＪＰ　ｎｏｉｅ　早稲田,マンション,東京都新宿区西早稲田２丁目,10階建て, 東京メトロ東西線 早稲田駅/徒歩6分東京メトロ副都心線 西早稲田駅/徒歩9分都電荒川線 早稲田駅/徒歩11分,築9年,鉄筋コンクリート,3階,13万円,"3,000円",－,1ヶ月,1K,26.15m²
ヴェルデコート西新宿,マンション,東京都新宿区西新宿８丁目,12階建て, 東京メトロ丸ノ内線 西新宿駅/徒歩4分ＪＲ山手線 新宿駅/徒歩13分ＪＲ総武線 大久保駅/徒歩10分,築9年,鉄筋コンクリート,2階,18.4万円,"10,000円",1ヶ月,1ヶ月,1LDK,45.15m²
アペルト西新宿,マンション,東京都新宿区西新宿５丁目,7階建て, 都営大江戸線 西新宿五丁目駅/徒歩6分東京メトロ丸ノ内線 中野坂上駅/徒歩6分都営大江戸線 都庁前駅/徒歩10分,築12年,鉄筋コンクリート,4階,9.9万円,"13,000円",1ヶ月,－,1K,22.92m²
アメニティーコート上落合,マンション,東京都新宿区上落合１丁目,3階建て, 都営大江戸線 中井駅/徒歩6分東京メトロ東西線 落合駅/徒歩8分西武鉄道新宿線 下落合駅/徒歩8分,築13年,鉄骨造,1階,10.4万円,"5,000円",1ヶ月,－,1K,30.71m²
セントラルパークタワー・ラ・トゥール新宿,マンション,東京都新宿区西新宿６丁目,44階建て, 都営大江戸線 都庁前駅/徒歩5分東京メトロ丸ノ内線 西新宿駅/徒歩6分ＪＲ山手線 新宿駅/徒歩14分,築13年,鉄筋コンクリート,15階,20万円,－,2ヶ月,1ヶ月,1R,33.82m²
ルーブル早稲田伍番館,マンション,東京都新宿区早稲田町,7階建て, 東京メトロ東西線 早稲田駅/徒歩1分都電荒川線 早稲田駅/徒歩10分都営大江戸線 牛込柳町駅/徒歩15分,築15年,鉄筋コンクリート,1階,8.8万円,－,－,1ヶ月,1K,20.25m²
東京都新宿区新宿１丁目,マンション,東京都新宿区新宿１丁目,15階建て, 東京メトロ丸ノ内線 新宿御苑前駅/徒歩2分都営新宿線 新宿三丁目駅/徒歩6分東京メトロ丸ノ内線 四谷三丁目駅/徒歩15分,築15年,鉄筋コンクリート,12階,10.1万円,"9,000円",1ヶ月,2ヶ月,1K,23.49m²
プレサンス新宿御苑前アルティメット,マンション,東京都新宿区新宿５丁目,13階建て, 東京メトロ丸ノ内線 新宿御苑前駅/徒歩6分東京メトロ丸ノ内線 新宿三丁目駅/徒歩7分ＪＲ総武線 新宿駅/徒歩15分,築15年,鉄筋コンクリート,2階,19万円,"10,500円",－,1ヶ月,1LDK,41.18m²
ＫＤＸレジデンス神楽坂通,マンション,東京都新宿区矢来町,15階建て, 東京メトロ東西線 神楽坂駅/徒歩2分東京メトロ有楽町線 江戸川橋駅/徒歩10分都営大江戸線 牛込神楽坂駅/徒歩10分,築16年,鉄骨鉄筋コンクリート,14階,12.4万円,"8,000円",1ヶ月,1ヶ月,1R,25.47m²
ＳｏＫｏ　ＰＡＲＣＯ,マンション,東京都新宿区百人町３丁目,5階建て, ＪＲ総武線 大久保駅/徒歩11分ＪＲ山手線 新大久保駅/徒歩11分ＪＲ山手線 高田馬場駅/徒歩12分,築0年,鉄筋コンクリート,3階,13.2万円,"5,000円",－,1ヶ月,1LDK,27.98m²
東京都新宿区喜久井町,マンション,東京都新宿区喜久井町,7階建て, 東京メトロ東西線 早稲田駅/徒歩2分都営大江戸線 若松河田駅/徒歩10分都営大江戸線 牛込柳町駅/徒歩10分,築17年,鉄筋コンクリート,4階,23.1万円,"8,000円",1ヶ月,－,1LDK,50m²
カスタリア新宿夏目坂,マンション,東京都新宿区喜久井町,7階建て, 東京メトロ東西線 早稲田駅/徒歩2分都営大江戸線 若松河田駅/徒歩10分都営大江戸線 牛込柳町駅/徒歩10分,築17年,鉄筋コンクリート,4階,23.1万円,"8,000円",1ヶ月,－,1LDK,50m²
ルーブル神楽坂弐番館,マンション,東京都新宿区矢来町,7階建て, 東京メトロ東西線 神楽坂駅/徒歩4分都営大江戸線 牛込神楽坂駅/徒歩9分東京メトロ有楽町線 江戸川橋駅/徒歩10分,築18年,鉄筋コンクリート,4階,7.9万円,"10,600円",－,1ヶ月,1K,20.25m²
アデッソ新宿若松町（ＡＤＥＳＳＯ）,マンション,東京都新宿区若松町,12階建て, 都営大江戸線 若松河田駅/徒歩3分都営大江戸線 牛込柳町駅/徒歩8分東京メトロ東西線 早稲田駅/徒歩9分,築18年,鉄骨鉄筋コンクリート,7階,8.2万円,"8,000円",1ヶ月,1ヶ月,1K,21.8m²
東京都新宿区天神町,マンション,東京都新宿区天神町,11階建て, 東京メトロ東西線 神楽坂駅/徒歩6分東京メトロ有楽町線 江戸川橋駅/徒歩6分東京メトロ東西線 早稲田駅/徒歩11分,築18年,鉄筋コンクリート,10階,8.5万円,"7,000円",－,1ヶ月,1K,20.86m²
レキシントンスクエア曙橋,マンション,東京都新宿区余丁町,9階建て, 都営大江戸線 若松河田駅/徒歩6分都営新宿線 曙橋駅/徒歩10分都営大江戸線 東新宿駅/徒歩11分,築18年,鉄筋コンクリート,2階,8.7万円,"10,000円",－,－,1K,23.43m²
カスタリア新宿御苑Ⅱ,マンション,東京都新宿区新宿１丁目,10階建て, 東京メトロ丸ノ内線 新宿御苑前駅/徒歩3分都営新宿線 新宿三丁目駅/徒歩8分都営新宿線 曙橋駅/徒歩11分,築18年,鉄筋コンクリート,10階,9.5万円,"12,000円",1ヶ月,－,1K,24.77m²
ヴェルト新宿イースト,マンション,東京都新宿区大久保１丁目,14階建て, ＪＲ山手線 新大久保駅/徒歩7分東京メトロ副都心線 東新宿駅/徒歩2分ＪＲ湘南新宿ライン 新宿駅/徒歩13分,築18年,鉄筋コンクリート,3階,8.8万円,"10,000円",－,1ヶ月,1K,20.45m²
ウエストシティ,マンション,東京都新宿区西新宿３丁目,4階建て, 京王電鉄京王線 初台駅/徒歩8分ＪＲ山手線 新宿駅/徒歩15分小田急小田原線 参宮橋駅/徒歩12分,築19年,鉄筋コンクリート,3階,8万円,－,1ヶ月,1ヶ月,1R,26.46m²
クレイン四谷,マンション,東京都新宿区若葉１丁目,4階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩5分ＪＲ総武線 四ツ谷駅/徒歩8分都営新宿線 曙橋駅/徒歩11分,築20年,鉄筋コンクリート,1階,8.5万円,"5,000円",1ヶ月,1ヶ月,1R,23.77m²
シエン・コンドミニオ,マンション,東京都新宿区百人町２丁目,6階建て, ＪＲ山手線 新大久保駅/徒歩6分西武鉄道新宿線 西武新宿駅/徒歩16分ＪＲ総武線 大久保駅/徒歩4分,築22年,鉄筋コンクリート,2階,17.5万円,－,1ヶ月,1ヶ月,1LDK,40.77m²
東京都新宿区西早稲田２丁目,マンション,東京都新宿区西早稲田２丁目,3階建て, 東京メトロ副都心線 西早稲田駅/徒歩6分,築26年,鉄筋コンクリート,2階,6.9万円,"4,000円",1ヶ月,1ヶ月,1K,19.89m²
トーシン・プラネット新宿,マンション,東京都新宿区北新宿４丁目,6階建て, ＪＲ総武線 東中野駅/徒歩8分ＪＲ総武線 大久保駅/徒歩10分東京メトロ東西線 落合駅/徒歩12分,築30年,鉄筋コンクリート,4階,6.5万円,"4,000円",－,1ヶ月,1R,21.14m²
フラットＭＯＮＡ,マンション,東京都新宿区西落合１丁目,6階建て, 都営大江戸線 落合南長崎駅/徒歩3分西武池袋・豊島線 東長崎駅/徒歩13分,築30年,鉄筋コンクリート,5階,8.5万円,"8,000円",1ヶ月,1ヶ月,1K,20m²
グランメール落合,マンション,東京都新宿区上落合１丁目,6階建て, 西武鉄道新宿線 下落合駅/徒歩4分都営大江戸線 中井駅/徒歩8分東京メトロ東西線 落合駅/徒歩10分,築30年,鉄筋コンクリート,3階,11.5万円,"8,000円",1ヶ月,1ヶ月,1LDK,47.42m²
ブリティホワイトパレス,アパート,東京都新宿区西新宿５丁目,2階建て, 都営大江戸線 西新宿五丁目駅/徒歩3分都営大江戸線 都庁前駅/徒歩10分ＪＲ山手線 新宿駅/徒歩18分,築33年,木造,2階,6万円,"2,000円",－,－,1R,18.42m²
オークハイツ,マンション,東京都新宿区北新宿３丁目,4階建て, 都営大江戸線 東中野駅/徒歩8分ＪＲ総武線 大久保駅/徒歩10分ＪＲ山手線 新大久保駅/徒歩14分,築34年,鉄筋コンクリート,1階,7.2万円,"3,000円",1ヶ月,－,1R,20.14m²
グリーンコート四谷,マンション,東京都新宿区愛住町,3階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩5分都営新宿線 曙橋駅/徒歩6分東京メトロ丸ノ内線 新宿御苑前駅/徒歩14分,築34年,鉄筋コンクリート,2階,11.3万円,"6,000円",1ヶ月,1ヶ月,1LDK,39m²
ライオンズマンション西新宿第５,マンション,東京都新宿区西新宿４丁目,5階建て, 都営大江戸線 西新宿五丁目駅/徒歩4分都営大江戸線 都庁前駅/徒歩9分ＪＲ山手線 新宿駅/徒歩19分,築41年,鉄筋コンクリート,1階,7.5万円,－,1ヶ月,1ヶ月,1R,20.79m²
ライオンズマンション信濃町,マンション,東京都新宿区南元町,6階建て, ＪＲ総武線 信濃町駅/徒歩7分都営大江戸線 国立競技場駅/徒歩12分東京メトロ丸ノ内線 四ツ谷駅/徒歩13分,築41年,鉄筋コンクリート,3階,16.5万円,－,1ヶ月,1ヶ月,2SDK,51.53m²
ＳｏＫｏ　ＰＡＲＣＯ,マンション,東京都新宿区百人町３丁目,5階建て, ＪＲ総武線 大久保駅/徒歩11分ＪＲ山手線 新大久保駅/徒歩11分ＪＲ山手線 高田馬場駅/徒歩12分,築0年,鉄筋コンクリート,3階,13.2万円,"5,000円",－,1ヶ月,1LDK,27.98m²
メゾン・ド・モナーク,マンション,東京都新宿区大京町,5階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩8分都営大江戸線 国立競技場駅/徒歩8分ＪＲ総武線 信濃町駅/徒歩10分,築44年,鉄筋コンクリート,3階,5.9万円,"5,000円",－,－,1R,15.08m²
イトーピア信濃町マンション,マンション,東京都新宿区南元町,6階建て, ＪＲ総武線 信濃町駅/徒歩6分都営大江戸線 国立競技場駅/徒歩11分東京メトロ丸ノ内線 四谷三丁目駅/徒歩13分,築43年,鉄筋コンクリート,3階,24万円,"51,600円","240,000円","240,000円",3LDK,84.74m²
ヴェラハイツ市ヶ谷,マンション,東京都新宿区片町,10階建て, 都営新宿線 曙橋駅/徒歩2分東京メトロ丸ノ内線 四谷三丁目駅/徒歩8分都営大江戸線 牛込柳町駅/徒歩10分,築46年,鉄骨鉄筋コンクリート,2階,8.5万円,－,1ヶ月,－,1R,24.3m²
御苑コーポビアネーズ,マンション,東京都新宿区新宿１丁目,7階建て, 東京メトロ丸ノ内線 新宿御苑前駅/徒歩4分東京メトロ丸ノ内線 四谷三丁目駅/徒歩9分都営新宿線 新宿三丁目駅/徒歩10分,築52年,鉄筋コンクリート,5階,15万円,"10,000円",2ヶ月,－,1R,51.57m²
ＳＵＮＩＶＡＳ飯田橋,マンション,東京都新宿区新小川町,5階建て, ＪＲ総武線 飯田橋駅/徒歩6分都営大江戸線 牛込神楽坂駅/徒歩10分東京メトロ東西線 神楽坂駅/徒歩11分,築0年,鉄筋コンクリート,2階,21.3万円,"14,000円",－,－,1LDK,39.47m²
ユゥーアップー四ツ谷,マンション,東京都新宿区四谷２丁目,12階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩5分中央本線（ＪＲ東日本） 四ツ谷駅/徒歩8分都営新宿線 曙橋駅/徒歩11分,築1年,鉄筋コンクリート,2階,14.2万円,"10,000円",1ヶ月,－,1K,30m²
ザ・アーバンテラス高田馬場,アパート,東京都新宿区高田馬場３丁目,2階建て, 西武鉄道新宿線 高田馬場駅/徒歩7分西武鉄道新宿線 下落合駅/徒歩7分西武鉄道新宿線 中井駅/徒歩15分,築2年,木造,1階,6.1万円,"4,000円",1ヶ月,1ヶ月,1R,10.23m²
セジョリ西早稲田Ⅱ,マンション,東京都新宿区西早稲田１丁目,11階建て, 東京メトロ東西線 早稲田駅/徒歩7分都電荒川線 早稲田駅/徒歩4分都電荒川線 面影橋駅/徒歩9分,築2年,鉄筋コンクリート,2階,10.8万円,"10,000円",－,"108,000円",1K,25.89m²
市谷仲之町ヒルズ　クレスト（Ｎｏｒｔｈ棟）,マンション,東京都新宿区市谷仲之町,6階建て, 都営新宿線 曙橋駅/徒歩4分都営大江戸線 牛込柳町駅/徒歩10分東京メトロ丸ノ内線 四谷三丁目駅/徒歩11分,築2年,鉄筋コンクリート,3階,12.4万円,"7,000円",1ヶ月,1ヶ月,1K,29.73m²
ＰＡＳＥＯ四ツ谷,マンション,東京都新宿区四谷三栄町,5階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩5分中央本線（ＪＲ東日本） 四ツ谷駅/徒歩7分都営新宿線 曙橋駅/徒歩7分,築2年,鉄筋コンクリート,1階,12.7万円,"18,000円",－,－,1R,25.75m²
ＬＩＧＨＴ　ＴＥＲＲＡＣＥ　新宿御苑,マンション,東京都新宿区新宿１丁目,18階建て, 東京メトロ丸ノ内線 新宿御苑前駅/徒歩5分東京メトロ丸ノ内線 新宿三丁目駅/徒歩8分東京メトロ丸ノ内線 新宿駅/徒歩16分,築2年,鉄筋コンクリート,5階,34.5万円,"15,000円",1ヶ月,1ヶ月,3LDK,65.31m²
メイクスデザイン神楽坂,マンション,東京都新宿区山吹町,12階建て, 東京メトロ有楽町線 江戸川橋駅/徒歩6分東京メトロ東西線 神楽坂駅/徒歩8分東京メトロ東西線 早稲田駅/徒歩12分,築3年,鉄筋コンクリート,8階,10.7万円,"12,000円",－,1ヶ月,1K,25.55m²
レックスガーデン神楽坂北町,マンション,東京都新宿区北町,8階建て, 都営大江戸線 牛込神楽坂駅/徒歩3分東京メトロ東西線 神楽坂駅/徒歩10分都営大江戸線 飯田橋駅/徒歩10分,築3年,鉄筋コンクリート,1階,15.1万円,"20,000円",2ヶ月,1ヶ月,1LDK,41.12m²
市谷仲之町ビューアパートメント,マンション,東京都新宿区市谷仲之町,12階建て, 都営新宿線 曙橋駅/徒歩5分都営大江戸線 牛込柳町駅/徒歩8分都営大江戸線 若松河田駅/徒歩10分,築4年,鉄筋コンクリート,2階,10.4万円,"10,000円",1ヶ月,1ヶ月,1K,25.39m²
東京都新宿区上落合１丁目,アパート,東京都新宿区上落合１丁目,2階建て, 西武鉄道新宿線 下落合駅/徒歩3分東京メトロ東西線 落合駅/徒歩8分都営大江戸線 中井駅/徒歩7分,築4年,木造,1階,11.9万円,"3,000円",1ヶ月,1ヶ月,1LDK,35.99m²
プレミアムキューブＧ市谷甲良町,マンション,東京都新宿区市谷甲良町,14階建て, 都営大江戸線 牛込柳町駅/徒歩4分都営大江戸線 牛込神楽坂駅/徒歩12分東京メトロ東西線 神楽坂駅/徒歩13分,築4年,鉄筋コンクリート,5階,12.2万円,"15,000円",－,"122,000円",1K,25.2m²
クロスレジデンス飯田橋,マンション,東京都新宿区新小川町,13階建て, ＪＲ総武線 飯田橋駅/徒歩5分都営大江戸線 牛込神楽坂駅/徒歩10分東京メトロ丸ノ内線 後楽園駅/徒歩16分,築4年,鉄筋コンクリート,3階,12.8万円,"10,000円",1ヶ月,－,1K,26.32m²
アルトゥーラ中井,マンション,東京都新宿区中井２丁目,3階建て, 都営大江戸線 中井駅/徒歩4分都営大江戸線 落合南長崎駅/徒歩11分東京メトロ東西線 落合駅/徒歩11分,築4年,鉄骨造,1階,13.8万円,"4,000円",1ヶ月,1ヶ月,1LDK,41.86m²
東京都新宿区西新宿５丁目,マンション,東京都新宿区西新宿５丁目,3階建て, 都営大江戸線 西新宿五丁目駅/徒歩3分都営大江戸線 都庁前駅/徒歩7分ＪＲ山手線 新宿駅/徒歩17分,築6年,鉄筋コンクリート,1階,9.8万円,－,1ヶ月,－,1K,11.16m²
東京都新宿区大京町,マンション,東京都新宿区大京町,10階建て, ＪＲ総武線 千駄ケ谷駅/徒歩5分都営大江戸線 国立競技場駅/徒歩3分東京メトロ丸ノ内線 四谷三丁目駅/徒歩13分,築6年,鉄筋コンクリート,2階,11.75万円,"12,000円",1ヶ月,2ヶ月,2K,27.6m²
